timestamp,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y
0.0,0.55343729,0.72218162,0.56748945,0.75547692,0.53470111,0.75131503,0.58388364,0.75547692,0.5042547,0.75547692,0.60261995,0.63061941,0.46678224,0.61813363,0.65648651,0.45165688000000004,0.45038804,0.41419958999999995,0.60261995,0.63061941,0.49488658,0.6056478599999999,0.59090978,0.18945615999999998,0.49020255,0.18529421000000001,,
0.1001,0.551691,0.73314273,0.56597096,0.7627486,0.53265089,0.7627486,0.58263105,0.76697803,0.50409085,0.76697803,0.59929103,0.64855465,0.46601072,0.63163698,0.65879118,0.47091949,0.45411074,0.42862546,0.60881114,0.65278405,0.50171083,0.63163698,0.58977109,0.19600832,0.48743084,0.19177884,,
0.2002,0.54373002,0.7411498400000001,0.56056374,0.7710643699999999,0.52689624,0.7710643699999999,0.57980233,0.77533786,0.49803838,0.7796114199999999,0.59663606,0.6556797,0.46437091,0.64713266,0.65435189,0.47619247,0.44753712,0.43773079000000004,0.60385054,0.6642267399999999,0.49803838,0.63431215,0.58220714,0.20696150999999996,0.48120466,0.20696150999999996,,
0.3003,0.53382021,0.73602587,0.55058694,0.77007776,0.51705343,0.77007776,0.56974888,0.77433425,0.48831052,0.77433425,0.59849179,0.64663956,0.4571723,0.63812661,0.63681579,0.4423281,0.43801033,0.42530208999999997,0.59370136,0.62110066,0.49070576,0.61684418,0.57453942,0.19545179999999995,0.47154379,0.19119531,,
0.4004,0.52526397,0.73371387,0.53952938,0.7675144700000001,0.50624341,0.76328938,0.56092745,0.7717395300000001,0.48009017,0.7675144700000001,0.58945823,0.6323121199999999,0.4468042,0.6323121199999999,0.62036663,0.41683351999999996,0.42302856,0.41260839000000005,0.58232552,0.58583635,0.4777126,0.6069617,0.56568259,0.19290459000000004,0.46106964,0.19712973,,
0.5005,0.51481444,0.7353760300000001,0.53163183,0.76953095,0.49799696,0.76526158,0.55085176,0.77806969,0.46916711,0.7738003,0.57968175,0.64145002,0.43312976,0.64145002,0.61571902,0.43652058000000005,0.41631228,0.43225121,0.57487679,0.6158338800000001,0.4667646,0.64145002,0.55805928,0.20170546,0.45715466,0.20170546,,
0.6006,0.51247001,0.7428903,0.52705789,0.77745505,0.49545079,0.77745505,0.54893976,0.77745505,0.46384367,0.78177561,0.57325292,0.65647861,0.43223661,0.65215802,0.61458522,0.45341104,0.42251137,0.44909042,0.57082158,0.64351684,0.46627501,0.66511977,0.55380237,0.21577882999999998,0.45168716,0.21145820999999998,,
0.7007,0.51413995,0.73909253,0.53107959,0.7734957,0.49720028,0.7734957,0.55043924,0.7734957,0.46574083,0.78209651,0.57221878,0.6530846699999999,0.43428147,0.6444838900000001,0.61093807,0.44236523000000005,0.43186152,0.43376446,0.57221878,0.62728232,0.47300071,0.64878422,0.56253904,0.19724273999999997,0.45848098,0.19294237999999997,,
0.8008,0.52514625,0.7276184299999999,0.539505,0.7616403700000001,0.50600111,0.75738768,0.5586502,0.76589313,0.47728348,0.7616403700000001,0.58497465,0.6298053299999999,0.44377953,0.6255525900000001,0.61129922,0.40441000000000005,0.44138637,0.40015721000000004,0.58976096,0.57451975,0.47728348,0.60854164,0.57300907,0.19177281999999995,0.46771091,0.19177281999999995,,
0.9009,0.53439468,0.71321452,0.55081588,0.7465646,0.5179736,0.7465646,0.56958294,0.75490214,0.48982301,0.75490214,0.59538764,0.62567052,0.45463485,0.62150168,0.62353814,0.40472615,0.44994307,0.39221989999999995,0.60242528,0.5714766099999999,0.48043954,0.59232041,0.58365816,0.17961293,0.48043954,0.17961293,,
