timestamp,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0.0,0.49468762,0.60485095,0.49989739,0.620278,0.48774117,0.6171926,0.51379013,0.62644878,0.47905827,0.620278,0.53115612,0.5739969,0.47732162,0.56782612,0.54157567,0.49069107,0.45821914,0.49686182,0.51552683,0.5554844999999999,0.46516553,0.5585698800000001,0.52073658,0.38578731,0.48600459,0.38887274000000005,0.52768284,0.24385875,0.48079482,0.26545662000000003,0.54852206,0.10810107000000002,0.4964242,0.18215077999999996
0.1001,0.49552041,0.61057541,0.50244892,0.62288535,0.48859182,0.62288535,0.51630604,0.6290403600000001,0.48166323,0.62596282,0.53362745,0.57980046,0.47819895,0.5705679699999999,0.54402035,0.49363064999999995,0.45741326,0.49978560000000005,0.51977044,0.55518049,0.46607393,0.5613355,0.52496684,0.38899583000000004,0.48859182,0.39207333,0.53362745,0.24743115999999998,0.48512754,0.2720511,0.55094892,0.11202157000000001,0.49552041,0.18280375000000004
0.2002,0.49935231,0.60881522,0.5045315,0.62415165,0.49244675,0.62108433,0.52006912,0.62721896,0.48381472,0.62415165,0.53905952,0.57507503,0.48036194,0.56587321,0.54941797,0.48919100000000004,0.4630979,0.49225825,0.52524835,0.55053672,0.47000352,0.55667132,0.52870113,0.38490313,0.49072033,0.38797039,0.53733313,0.24074054,0.48726749,0.26527882,0.5511443,0.10884713999999995,0.4958995,0.17939472
0.3003,0.50194716,0.60651517,0.50882471,0.62178925,0.49678898,0.61873439,0.52429903,0.62484401,0.4899115,0.61873439,0.54321223,0.56985745,0.48647276,0.56374782,0.55352843,0.48737752,0.46755967,0.48737752,0.52945721,0.55152863,0.47787589,0.55152863,0.53289592,0.38045925,0.49506968,0.38351405000000005,0.53805405,0.23688321999999995,0.48819214,0.26437652,0.55180907,0.10858113000000003,0.49850839,0.17884171000000004
0.4004,0.5041098,0.6102483000000001,0.51101983,0.62252524,0.49892735,0.62252524,0.52656728,0.62866372,0.49201736,0.62252524,0.54556972,0.5764868000000001,0.49028993,0.5672790999999999,0.55420721,0.49361748000000005,0.47128743,0.48747909,0.53002226,0.5550021199999999,0.47992492,0.5550021199999999,0.53520477,0.38005602000000005,0.49719992,0.38312519,0.53865969,0.22966361000000002,0.49028993,0.26649438999999997,0.55075222,0.10689442999999998,0.49719992,0.17748666000000002
0.5005,0.50514466,0.61205745,0.51037371,0.62754151,0.49817258,0.62754151,0.52606094,0.63373518,0.49120051,0.62754151,0.54523414,0.58418602,0.49120051,0.5717987099999999,0.55046332,0.50057182,0.47202721,0.49437821000000004,0.52431786,0.56870189,0.47899932,0.55941147,0.53477603,0.38289260999999997,0.49642953,0.38598937,0.53826201,0.23114829999999997,0.48771444,0.26831013000000004,0.55220622,0.10417854999999998,0.49642953,0.18159908000000002
0.6006,0.50203454,0.61491376,0.50900674,0.6303979200000001,0.49506253,0.62730107,0.52469397,0.63349473,0.48983341,0.6303979200000001,0.54212415,0.58394551,0.48983341,0.57465503,0.54735321,0.49413746999999997,0.46891719,0.5003310999999999,0.51946485,0.55917087,0.47937527,0.56536454,0.5316661,0.38574856999999996,0.49506253,0.3919422,0.53689516,0.23710072000000004,0.48460436,0.27426273,0.55258238,0.10703403,0.49680552,0.18135791999999995
0.7007,0.49632087,0.61017761,0.50319946,0.62545395,0.49116197,0.6223987,0.51867616,0.62545395,0.48428339,0.6223987,0.53759211,0.57045919,0.48428339,0.5674038800000001,0.54447061,0.48185641,0.46364784,0.50018799,0.51867616,0.53379592,0.47396564,0.5612933600000001,0.52727425,0.38408792,0.49116197,0.38714314000000005,0.53243321,0.24049032000000004,0.48428339,0.27104306,0.55134916,0.1060586,0.49632087,0.17938513
0.8008,0.49255389,0.60859749,0.49945092,0.6239148999999999,0.48565689,0.62085143,0.51324493,0.6239148999999999,0.48048416,0.62085143,0.53221166,0.5718358800000001,0.47875991,0.56570897,0.54083288,0.48605871,0.45806891,0.49831265,0.51324493,0.54426467,0.46669015,0.5565185500000001,0.52186614,0.38496429,0.48738113,0.38802773,0.52359039,0.25017160000000005,0.4822084,0.27467942,0.5511784,0.10925198000000003,0.49600238,0.18277526
0.9009,0.48811895,0.6121773699999999,0.49505478,0.62758106,0.48291698,0.6245003,0.50892663,0.63066179,0.47598109,0.62758106,0.52800035,0.57828912,0.47771508,0.57212767,0.53493625,0.49818987000000003,0.45690742,0.5012705,0.50892663,0.55672392,0.46384329,0.55672392,0.52106446,0.39344448,0.48811895,0.39344448,0.52106446,0.25789165000000003,0.48291698,0.27329539999999997,0.550542,0.11001592999999998,0.49678874,0.1808731
1.001,0.48460388,0.6139990399999999,0.49167198,0.62655708,0.47930273,0.62655708,0.50580841,0.6328361,0.47400159,0.62655708,0.52347887,0.58260399,0.47576863,0.57004598,0.52701294,0.5103954399999999,0.45986524,0.49469799000000003,0.50050724,0.57004598,0.46339935,0.5512090000000001,0.52171177,0.39109433000000005,0.48990497,0.39109433000000005,0.52347887,0.24981672,0.48637089,0.2749328,0.54821742,0.09912049999999994,0.49697319,0.18074763000000005
1.1011,0.48335385,0.60526708,0.49038237,0.62087658,0.47808242,0.6177546700000001,0.50443935,0.62087658,0.47281107,0.6177546700000001,0.52201062,0.57404837,0.47632533,0.55843893,0.52552491,0.50536689,0.46226835,0.48351383000000003,0.49741083,0.56156081,0.46226835,0.5397076599999999,0.52376777,0.38049161,0.49038237,0.38049161,0.52201062,0.24312895999999995,0.48159671,0.27122592999999995,0.54836756,0.09327859000000005,0.49741083,0.1806913
1.2012,0.49486303,0.60475808,0.50012219,0.62033099,0.48785096,0.61721644,0.51239324,0.62033099,0.47733283,0.61721644,0.53167641,0.5704976900000001,0.47557989,0.55803934,0.54219449,0.49263310000000005,0.45454365,0.48017478,0.5158993,0.55492473,0.46155572,0.53623724,0.52817041,0.37116432,0.489604,0.37427896000000005,0.52641737,0.22789358999999998,0.47908586,0.25281036,0.54920667,0.09085189999999999,0.49486303,0.18428940000000005
1.3013,0.51333159,0.61022127,0.51862693,0.62276548,0.50627124,0.62276548,0.52568734,0.62276548,0.49038523,0.6196294099999999,0.53274781,0.5694525500000001,0.47626442,0.5600444099999999,0.55745924,0.50673151,0.44978791,0.51300362,0.53980815,0.56631649,0.47096914,0.57572466,0.53451288,0.38128930000000005,0.49391547,0.37501711000000004,0.54157323,0.23389470999999995,0.48332486,0.24957514000000003,0.54863369,0.09277225,0.48862019,0.18998992000000003
1.4014,0.52397126,0.61000213,0.52750617,0.62256309,0.51690137,0.61942288,0.53104103,0.61942288,0.49745947,0.6162826100000001,0.534576,0.5660389699999999,0.48508731,0.5660389699999999,0.55048311,0.49695389999999995,0.47625002,0.55975851,0.54518068,0.55661827,0.48508731,0.5817401099999999,0.53634346,0.38704598,0.49569196,0.38390570999999996,0.54518068,0.23945521999999997,0.49215707,0.23945521999999997,0.54871559,0.08872426,0.48155236,0.19235188000000003
1.5015,0.5271681,0.6077939,0.53247392,0.62036327,0.52009356,0.62036327,0.53424263,0.6172209399999999,0.50240713,0.6172209399999999,0.53601128,0.56380129,0.4847208,0.56694365,0.55546629,0.49152762000000005,0.46526581,0.52295095,0.5483917,0.5575166,0.48295218,0.5732282399999999,0.53424263,0.38154595999999996,0.49356398,0.37840366000000003,0.54308581,0.24328333000000002,0.48825806,0.23071396,0.5483917,0.08930903999999995,0.47941488,0.18986356000000004
1.6016,0.52001274,0.60768646,0.52534235,0.62031183,0.51290673,0.62031183,0.53067195,0.61715549,0.49514157,0.62031183,0.53600144,0.56034142,0.47915283,0.56034142,0.55909622,0.49090206999999997,0.45072857,0.5003710100000001,0.5466606,0.5540287500000001,0.4649407,0.56349775,0.53067195,0.37411761,0.48803544,0.37096125,0.53777802,0.23839509000000003,0.47737637,0.24155146000000005,0.54843718,0.09320366000000002,0.48448238,0.18789374999999997
1.7017,0.50656199,0.6094878,0.51541692,0.62207374,0.4994781,0.62207374,0.52604276,0.6189272699999999,0.4888522,0.62207374,0.53666866,0.56543693,0.47645539,0.56543693,0.55260742,0.48992133000000004,0.45166177,0.49306779999999995,0.53489769,0.55914396,0.46051663,0.5528510200000001,0.52604276,0.37979418,0.48531026,0.38294065,0.53135568,0.23190928,0.47114253,0.25393462,0.54729444,0.09346383999999996,0.49416512,0.18471199000000005
1.8018,0.493949,0.60641983,0.50098705,0.61892441,0.48691091,0.61892441,0.51506329,0.62205055,0.47987285,0.61892441,0.53265858,0.57203239,0.47811335,0.56265396,0.5414561,0.49075287999999995,0.45523953,0.48762673,0.51506329,0.56265396,0.46051806,0.54389715,0.51858228,0.37821192000000003,0.48163238,0.38133806000000003,0.52034181,0.22815739999999995,0.47107524,0.26254487000000004,0.54497516,0.09373355000000005,0.49570855,0.18126535
1.9019,0.49033499,0.6021553900000001,0.49559879,0.61774236,0.48331666,0.6146249500000001,0.50963557,0.61774236,0.47629824,0.6146249500000001,0.52718163,0.5709815899999999,0.47629824,0.5616294399999999,0.53244531,0.48681217,0.45524311,0.48992956,0.50788099,0.55227724,0.45875224,0.5429251500000001,0.51489931,0.38393843000000005,0.48156205,0.38705581,0.51489931,0.23430388999999996,0.47454366,0.25924301000000005,0.54297292,0.09090423999999997,0.49208957,0.17819107
2.002,0.48773861,0.60793021,0.49478072,0.62044191,0.48245701,0.61731392,0.508865,0.6235698199999999,0.47541493,0.61731392,0.52647024,0.57352307,0.47365445,0.56413934,0.53175187,0.49219716,0.45428863,0.49532503000000005,0.50534391,0.5578834100000001,0.45957023,0.55162764,0.51414645,0.38584787,0.4806965,0.38584787,0.51590705,0.23883557,0.47541493,0.26073097999999995,0.54231489,0.09182321999999998,0.49302021,0.17940502999999997
