timestamp,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,right_ear_x,right_ear_y
0.0,0.48760509,0.6255012200000001,0.49466985,0.63805318,0.48583895,0.63805318,0.51586413,0.63805318,0.54588926,0.5752936,0.4893713,0.56587961,0.56884974,0.48429215000000003,0.46994323,0.49056809999999995,0.55648637,0.53449985,0.48230657,0.56587961,0.53705841,0.38701481000000004,0.49820223,0.38701481000000004,0.53705841,0.24894375000000002,0.49643603,0.25835758,0.56355125,0.10773467999999997,0.50879937,0.16421830999999998,,
0.1001,0.49551377,0.62002128,0.50251698,0.6324637799999999,0.4920122,0.6324637799999999,0.52352643,0.6324637799999999,0.55328977,0.57025144,0.4920122,0.56403017,0.56729615,0.47071158999999996,0.47625512,0.48315406000000005,0.55504054,0.51114964,0.48851067,0.5484770800000001,0.54103434,0.37739301000000003,0.49901539,0.37739301000000003,0.54453588,0.23741508,0.49726462,0.25296819000000004,0.56379455,0.10365844000000002,0.50776935,0.16587090000000004,,
0.2002,0.50132579,0.61643738,0.5100193,0.6287939300000001,0.49784842,0.6287939300000001,0.52914488,0.6287939300000001,0.55522531,0.5670113,0.49437103,0.56083298,0.57261229,0.46815907999999995,0.48046145,0.47742653,0.55348665,0.52685255,0.49263233,0.54538736,0.54479319,0.37239593000000004,0.50306451,0.37239593000000004,0.54653186,0.2302959,0.49610972,0.25500893999999996,0.5656575,0.10364156999999996,0.50654185,0.16542429000000003,0.49437103,0.6287939300000001
0.3003,0.50623977,0.61489624,0.51327348,0.63051713,0.50096446,0.63051713,0.5326162,0.6336413000000001,0.55723411,0.57428172,0.49744764,0.57115754,0.56602621,0.47743183,0.4816218,0.48368025000000003,0.5414083,0.54928818,0.49393076,0.5336673000000001,0.54492515,0.37745779999999995,0.50448143,0.38058197000000005,0.54668355,0.22749673999999998,0.4904139,0.25873851999999997,0.56426775,0.10565340999999995,0.50623977,0.17126136999999997,0.49920607,0.63051713
0.4004,0.50626659,0.62175822,0.51333439,0.63745502,0.50096565,0.63431576,0.53100407,0.64059439,0.55220765,0.58094656,0.49566478,0.57780716,0.55397463,0.48676568,0.47976208,0.48990506,0.52747017,0.55583161,0.49566478,0.53699544,0.53983891,0.38630611000000004,0.50273263,0.39258479999999996,0.54513979,0.23247731000000005,0.48682994,0.27014965,0.56457645,0.10376339999999995,0.49919873,0.18224757999999996,0.49743176,0.63745502
0.5005,0.50083488,0.6177519,0.50789773,0.63343748,0.49730349,0.63343748,0.5273205,0.6365746299999999,0.54497755,0.58010641,0.49730349,0.57383215,0.54674327,0.49226695,0.47964644,0.49540412,0.51496053,0.54559806,0.48847494,0.53932381,0.53614897,0.38246775,0.49906921,0.38874191,0.54144609,0.23188567000000004,0.48494354,0.27266836000000005,0.56440032,0.10326367999999997,0.49377209,0.19110309999999997,0.49377209,0.6303004
0.6006,0.4946385,0.61073482,0.50159812,0.62309986,0.48941883,0.6261911099999999,0.52073705,0.62309986,0.53813601,0.5674569899999999,0.48941883,0.56436568,0.54161584,0.47471887,0.47375974,0.48708397000000003,0.50681782,0.52417916,0.48071933,0.53345302,0.52943647,0.37888938000000005,0.4946385,0.38507187,0.53639609,0.23669088000000005,0.48245925,0.27378625,0.5642345,0.10376620000000003,0.4946385,0.19032179999999999,0.4841992,0.62309986
0.7007,0.48769408,0.60980839,0.49457639,0.6220361,0.48253241,0.6220361,0.51006138,0.6220361,0.52898765,0.5639546799999999,0.47909132,0.5608978,0.54447263,0.47530419,0.4584446,0.49670249,0.50834084,0.49670249,0.46876794,0.55478394,0.52210534,0.37748283000000005,0.48769408,0.38359666000000003,0.52726704,0.23686474999999996,0.48253241,0.26437694,0.56167829,0.10541730999999999,0.49629688,0.18184018000000002,0.47737074,0.61897913
0.8008,0.482963,0.6202086499999999,0.48988694,0.63558578,0.47777003,0.63558578,0.50546581,0.63558578,0.52277571,0.5802279699999999,0.47084612,0.5771525200000001,0.54181653,0.49719125,0.45007429,0.51256835,0.51238978,0.51256835,0.46565318,0.56792623,0.51758277,0.39570183000000003,0.48123202,0.39877724999999997,0.52450663,0.25730728999999997,0.48123202,0.27268444999999997,0.5522024,0.11891269999999998,0.49507993,0.18657225,0.47257715,0.63558578
0.9009,0.48044872,0.63227251,0.48711568,0.64411774,0.47544846,0.64411774,0.5004496,0.6470790200000001,0.52045053,0.59377572,0.46711478,0.59081441,0.53711796,0.51085943,0.4487806,0.5197433499999999,0.50544983,0.52862719,0.4637813,0.5671240399999999,0.51545036,0.41609799999999997,0.48044872,0.41905921999999995,0.52211726,0.27691716,0.478782,0.28876232999999996,0.54545164,0.14662014999999995,0.49211589,0.19400090000000003,0.46878147,0.6470790200000001
