timestamp,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y
0.0,0.51837987,0.70911333,0.53224474,0.7378583000000001,0.5022043,0.74196476,0.55073112,0.75017756,0.47678554,0.75839044,0.56459594,0.63930413,0.44212353,0.63930413,0.61081189,0.4586215,0.41439396,0.43398296999999997,0.57846075,0.63930413,0.46060991,0.61466557,0.54842025,0.21634251000000004,0.45136675,0.21634251000000004,,,,
0.1001,0.51023495,0.70256177,0.52616805,0.7349206500000001,0.49430183,0.7349206500000001,0.54210109,0.7389654800000001,0.46698797,0.74301034,0.56258661,0.6216645199999999,0.43284559,0.6216645199999999,0.59672886,0.42346627000000003,0.40780786,0.40728688,0.56713879,0.5973953599999999,0.45560715,0.57717106,0.54210109,0.20504378999999995,0.44422635,0.20504378999999995,,,,
0.2002,0.50082785,0.7096943600000001,0.51463562,0.73832124,0.48471868,0.73832124,0.53304607,0.74650028,0.45480171,0.75058983,0.55605912,0.62381387,0.42028219,0.63199291,0.58367479,0.41115725000000003,0.39496782,0.41524684,0.56066167,0.55429149,0.44559652,0.5910974099999999,0.53534734,0.19850075,0.43639129,0.19441116000000003,,,,
0.3003,0.49487057,0.7151693100000001,0.50673223,0.74889523,0.47589204,0.74467951,0.52571064,0.75732674,0.44742426,0.76154242,0.54706162,0.63085455,0.40946722,0.64350173,0.57315695,0.40742027999999997,0.38811642,0.4327147,0.55180615,0.54232395,0.43793499,0.62663877,0.52808297,0.20928055,0.42844576,0.20928055,,,,
0.4004,0.49118999,0.7129912700000001,0.50539356,0.74243852,0.47698644,0.74243852,0.52196431,0.74664527,0.44147763,0.7550588,0.53853512,0.6246494899999999,0.4036015,0.6330630500000001,0.56930941,0.40589851,0.38703069,0.43113899,0.54800409,0.55734152,0.44147763,0.6288563,0.52196431,0.20397454999999998,0.42490679,0.19976771000000004,,,,
0.5005,0.49899152,0.71013907,0.51318175,0.73955867,0.48243627,0.73955867,0.52737194,0.74796426,0.44696081,0.74796426,0.54156202,0.6218803500000001,0.40675527,0.63448879,0.57467252,0.41594326000000004,0.39020002,0.41594326000000004,0.54865718,0.57985237,0.44932583,0.59666359,0.52500683,0.20580345,0.42567548,0.20160073,,,,
0.6006,0.51228768,0.70845911,0.52406037,0.74193218,0.49345151,0.74193218,0.54054195,0.75030041,0.45813361,0.75030041,0.54525113,0.6331448,0.41575208,0.6373289200000001,0.58527809,0.43649065,0.39220682,0.40301770000000003,0.56173271,0.5954876499999999,0.45813361,0.5494622,0.52876937,0.218916,0.43223378,0.21054775000000003,,,,
0.7007,0.5247708,0.6996229,0.53852522,0.7322127199999999,0.50643164,0.7322127199999999,0.55227959,0.74036017,0.47204557,0.74036017,0.55915672,0.62629583,0.43078238,0.6222221,0.60271245,0.43483073000000005,0.40327358,0.39816713000000004,0.57291126,0.61000091,0.46975318,0.5285264000000001,0.54311007,0.21892314999999996,0.4468292,0.21484941000000002,,,,
0.8008,0.53558743,0.6912274700000001,0.5491119,0.7232722300000001,0.51755506,0.7232722300000001,0.56263626,0.73128337,0.48374414,0.72727779,0.57841462,0.6151213,0.44542518,0.6151213,0.61447948,0.41484189000000005,0.42063054,0.38680278999999995,0.58743078,0.56705424,0.48149011,0.5310039200000001,0.55812812,0.19453441999999999,0.4612036,0.19052886999999996,,,,
0.9009,0.54192501,0.70214206,0.55551368,0.7343393899999999,0.52380663,0.7343393899999999,0.57136732,0.74238876,0.49209946,0.7343393899999999,0.58948559,0.61762401,0.45586279,0.62164867,0.61892802,0.41236591,0.43321481,0.40029186000000005,0.59628004,0.5492046500000001,0.4898347,0.56127864,0.56457293,0.19503378999999998,0.46492198,0.19905841000000002,,,,
1.001,0.53850359,0.71567023,0.55235583,0.74849197,0.52234256,0.74849197,0.56851685,0.75259469,0.49232924,0.74849197,0.58929533,0.62951314,0.45769855,0.63771859,0.61930859,0.41617179000000004,0.43461138,0.41617179000000004,0.60083884,0.53925332,0.49232924,0.58848599,0.5638994,0.20283043,0.4646247,0.20693320000000004,,,,
1.1011,0.53108478,0.7128278,0.54482788,0.7453908,0.5127607,0.7453908,0.56086153,0.7494612,0.48298398,0.7453908,0.58605713,0.62327948,0.45320728,0.62734988,0.61812437,0.4075495,0.4325926,0.4075495,0.59750968,0.5296607600000001,0.48756501,0.58664611,0.56086153,0.19996022999999996,0.46465984,0.20403051000000005,,,,
1.2012,0.52392662,0.69918737,0.53756976,0.73151341,0.50573593,0.73151341,0.55576044,0.7355541,0.47844976,0.7355541,0.5807727,0.6102908300000001,0.44434211,0.6102908300000001,0.61033279,0.39209026,0.42842519,0.38400871000000003,0.58986813,0.5173535300000001,0.48299745,0.5577610399999999,0.5580343,0.18601179,0.45798513,0.18601179,,,,
