timestamp,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0.0,0.48089314,0.61079365,0.48805052,0.62351006,0.47373581,0.62351006,0.50057584,0.62351006,0.46478915,0.62351006,0.52204782,0.56310713,0.45405316,0.55674896,0.53636253,0.46773410000000004,0.43615985,0.46773410000000004,0.50594378,0.5281370000000001,0.45584249,0.5313160699999999,0.51846915,0.36282371999999996,0.47194648,0.36282371999999996,0.53278387,0.21976410999999996,0.45763189,0.23248053000000002,0.55604511,0.08306283000000003,0.45405316,0.13392842000000005
0.1001,0.48737636,0.62029263,0.4947136,0.6333288,0.48003906,0.6333288,0.50755388,0.6333288,0.47270173,0.6333288,0.52956569,0.57466617,0.45986152,0.56488907,0.5442403,0.48015428000000004,0.44335264,0.47689521,0.51305681,0.54533488,0.46353021,0.5322987699999999,0.52406275,0.36608803,0.47637042,0.36282903,0.53690302,0.21617264000000003,0.46169585,0.23246771,0.55524623,0.08255225,0.45619288,0.13469677999999996
0.2002,0.49340063,0.6243965899999999,0.50263488,0.63752192,0.48786002,0.63752192,0.51556301,0.6342406,0.47862563,0.63095927,0.53587854,0.57517675,0.46939135,0.5653328,0.55065352,0.48658091000000003,0.45092264,0.47673701999999996,0.51740986,0.5554888499999999,0.46939135,0.5423634900000001,0.53033793,0.36517191000000004,0.48231941,0.36517191000000004,0.5395723,0.21751237,0.46754447,0.23391901999999998,0.55619407,0.07969665999999997,0.45461637,0.13219780000000003
0.3003,0.49579462,0.62573612,0.50319278,0.6388804,0.48839647,0.63559431,0.51983869,0.63559431,0.48284784,0.62902218,0.53833407,0.57644501,0.47544965,0.5665867600000001,0.55497998,0.4811489,0.45695418,0.47786278000000004,0.52353776,0.5501564400000001,0.47175059,0.5370121299999999,0.53278542,0.36285031,0.4846974,0.36613631,0.54203314,0.21826309,0.46805143,0.23469346999999996,0.55682951,0.08024799999999999,0.4588038,0.13611114000000002
0.4004,0.49428543,0.62948477,0.50168151,0.64591053,0.48688936,0.64262542,0.51647365,0.64262542,0.47949329,0.63934025,0.53866196,0.57692245,0.47579527,0.57035214,0.5553031,0.48165315,0.45915404,0.48165315,0.5201717,0.53421551,0.47209716,0.54078576,0.52941686,0.36338782000000003,0.48319134,0.36667293,0.54051095,0.21227098,0.46655011,0.23526703999999998,0.5553031,0.08415019999999995,0.46470112,0.14328289000000005
0.5005,0.48746601,0.63053089,0.49481446,0.64358678,0.4801175,0.64358678,0.50951129,0.64032283,0.47460628,0.64032283,0.53155649,0.57830727,0.46909499,0.57177937,0.55176461,0.48365199999999997,0.45072395,0.48691595,0.52053392,0.51629174,0.46725783,0.5456674699999999,0.52420807,0.36288487999999997,0.47828048,0.36614883,0.53339362,0.21274190999999998,0.46542072,0.23558974,0.55360174,0.08544695000000002,0.46909499,0.14419854
0.6006,0.48097888,0.62254637,0.48828554,0.63877356,0.47549891,0.6355281500000001,0.50107229,0.6355281500000001,0.46819225,0.63228273,0.52299219,0.5706194600000001,0.4627122,0.56737399,0.5467388,0.47974735,0.44444555,0.48623824000000004,0.5175122,0.49921994999999997,0.45723224,0.54790145,0.5175122,0.36291182,0.47367221,0.36615723,0.53029889,0.21686739,0.4645389,0.23633992999999998,0.55404556,0.08380467000000003,0.47001886,0.14222239999999997
0.7007,0.48064384,0.62445945,0.48612064,0.63743368,0.47334141,0.63743368,0.49707437,0.63743368,0.46421337,0.63419008,0.52080739,0.56931889,0.45691085,0.56607527,0.54271472,0.47525549,0.44230595,0.47849917,0.51533055,0.50120404,0.45325965,0.5336396999999999,0.51715612,0.36497444,0.4715158,0.36821800000000005,0.52810985,0.22225773000000004,0.46421337,0.23847543999999998,0.55731964,0.08602803999999997,0.46969017,0.14116865
0.8008,0.48093218,0.6309551600000001,0.48827505,0.64400122,0.47542506,0.64400122,0.50112504,0.6407397100000001,0.46808213,0.6407397100000001,0.52315366,0.57550943,0.45890355,0.56898642,0.54151088,0.48418701,0.44238204,0.48418701,0.51397514,0.51680216,0.45523208,0.5396328,0.52131802,0.37329561,0.47542506,0.37329561,0.53783941,0.22000438,0.46624643,0.23957342000000004,0.56353951,0.08628225,0.46991786,0.14172804000000006
0.9009,0.4897477,0.63142285,0.49707103,0.6444341499999999,0.48242441,0.6444341499999999,0.50988686,0.64118135,0.47327024,0.64118135,0.53002608,0.58263034,0.46411604,0.57287186,0.54650348,0.48829824,0.44397688,0.48504543,0.51537931,0.54684919,0.46228522,0.54359636,0.52636439,0.37770188000000005,0.47876272,0.37770188000000005,0.54467261,0.22807157,0.47143942,0.24108291000000004,0.56847346,0.08494705000000002,0.47143942,0.14024514
1.001,0.50242883,0.6238034100000001,0.50973088,0.6367768899999999,0.49512681,0.6367768899999999,0.52433491,0.63029015,0.48782477,0.63029015,0.54076439,0.57839626,0.47322077,0.57190958,0.55354291,0.4843387,0.45131475,0.4843387,0.5261603,0.5492059899999999,0.47322077,0.54271927,0.53346241,0.36757748999999995,0.48417372,0.36757748999999995,0.54989189,0.22486936999999996,0.47322077,0.23784274000000005,0.5699724,0.08216119,0.47139525,0.14054191000000005
1.1011,0.51814306,0.61467531,0.5235517,0.6274881999999999,0.50912845,0.6242850099999999,0.53617215,0.6242850099999999,0.49831098,0.6242850099999999,0.5505954,0.56983006,0.48208475,0.56662682,0.56141293,0.48013961000000005,0.4640556,0.47373319,0.53436929,0.54740745,0.48929635,0.53139132,0.53977793,0.35841685999999995,0.4910993,0.35841685999999995,0.55600417,0.21427136999999996,0.47487307,0.23028749000000004,0.57042748,0.08293890999999998,0.47126728,0.14059710999999997
1.2012,0.52619708,0.61094618,0.53336173,0.6236755,0.51724136,0.6236755,0.54231745,0.62049314,0.50649452,0.62049314,0.55664659,0.5663937,0.48858309,0.5663937,0.56739342,0.47728872,0.47246274,0.46774185,0.54052627,0.54411745,0.49932995,0.5218412299999999,0.54410851,0.35636055,0.49395651,0.35636055,0.55664659,0.21315622,0.47962737,0.22588545000000004,0.5691846,0.082681,0.47425389,0.14314508000000004
1.3013,0.53193676,0.6002456199999999,0.53724802,0.6159735,0.52308434,0.6159735,0.54787087,0.6159735,0.51069117,0.61282793,0.56203449,0.56249878,0.49121603,0.5593531700000001,0.56911641,0.46813148000000004,0.4735114,0.46184033,0.54432994,0.53418863,0.5053798,0.51216957,0.54432994,0.35803640000000003,0.494757,0.36118209,0.55672312,0.21963120000000003,0.47882286,0.23850477000000003,0.56911641,0.08122580999999995,0.4735114,0.14413750000000003
1.4014,0.52813733,0.5613883399999999,0.53481853,0.57622665,0.5197857,0.57622665,0.54651082,0.57919431,0.50809348,0.57919431,0.5582031,0.53171179,0.48971987,0.52874416,0.56989539,0.43081146000000003,0.47134638,0.42784387,0.54484057,0.49313222999999995,0.50308251,0.47235864000000005,0.54317021,0.35661995,0.49473086,0.35958767,0.55653274,0.22901094,0.47134638,0.24384910000000004,0.56989539,0.08359563000000003,0.46633539,0.14591652
1.5015,0.51168454,0.52043054,0.5194543,0.53423512,0.50391465,0.53699604,0.53188598,0.53699604,0.494591,0.5397569799999999,0.54742563,0.49558228000000004,0.47905129,0.49558228000000004,0.56607324,0.39342827,0.46351171,0.39342827,0.54120982,0.43208115999999996,0.49148303,0.44036388000000004,0.53965586,0.35201454,0.49303699,0.35201454,0.55519545,0.23881692,0.46661964,0.24709957999999999,0.57073504,0.08420545000000002,0.45729584,0.14494567999999997
