timestamp,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0.0,0.512537,0.5993813299999999,0.51931775,0.61142871,0.5057562,0.61142871,0.53626955,0.62046421,0.50236583,0.6144405,0.56000203,0.56926307,0.49897543,0.56323943,0.587125,0.47589636,0.47863325,0.47890818,0.57356352,0.51203838,0.49897543,0.53312114,0.54983103,0.37048243999999997,0.50914657,0.37349421000000005,0.54983103,0.22892654,0.49897543,0.2500093,0.56339246,0.10544145000000005,0.51423204,0.17170173
0.1001,0.51360232,0.59887663,0.5204016,0.61397716,0.50850278,0.61397716,0.53740013,0.62303752,0.50340319,0.6169973,0.56289786,0.57169554,0.50000346,0.56565535,0.58499587,0.47807186999999995,0.48300505,0.48713225000000004,0.56799746,0.51733345,0.50170338,0.54149437,0.54929912,0.37236786,0.50850278,0.37538803,0.54929912,0.22740232999999999,0.49830359,0.25760346999999995,0.56459773,0.10659753999999999,0.51360232,0.17304027
0.2002,0.51373136,0.6059068400000001,0.51886904,0.61807773,0.50688106,0.61807773,0.53599483,0.62720591,0.50345594,0.62112048,0.55997092,0.57852226,0.50345594,0.5754796,0.58223444,0.48724049,0.48461762,0.50245413,0.55140799,0.5328813800000001,0.49831814,0.5572231999999999,0.54798287,0.38074511,0.50859362,0.38987327000000005,0.54798287,0.23165148000000002,0.49318042,0.28033507,0.56339604,0.10385697999999999,0.50859362,0.18601047999999998
0.3003,0.50876701,0.6049859799999999,0.51385653,0.61704296,0.50198072,0.61704296,0.5308221,0.62608576,0.49858767,0.62307146,0.55457383,0.57785767,0.50028425,0.57484344,0.57323587,0.49345863,0.47992563,0.50250134,0.53930485,0.53264388,0.493498,0.55072942,0.54439449,0.38795966000000004,0.50707042,0.39398825000000004,0.54609096,0.24026132,0.49010491,0.28246081,0.56475312,0.10461986000000001,0.50367731,0.19203323000000005
0.4004,0.50068426,0.5981339800000001,0.50744182,0.61014017,0.49730545,0.61014017,0.52602518,0.6161432,0.49561611,0.61314169,0.54629785,0.56811854,0.49730545,0.56511706,0.56319183,0.48407549000000005,0.47703272,0.49608153,0.52771455,0.51709244,0.48885852,0.54710782,0.53954035,0.38202316000000003,0.50406307,0.38802623999999997,0.5429191,0.24095076000000004,0.48885852,0.27997081999999995,0.56488121,0.10287994,0.50406307,0.19292611000000004
0.5005,0.49480516,0.59715268,0.50149995,0.6090472,0.48978406,0.6090472,0.51823682,0.6149944700000001,0.48643675,0.61202082,0.53664738,0.56444269,0.48811045,0.56146902,0.55673158,0.48118090999999996,0.46635246,0.49010187000000005,0.52827895,0.49902278,0.47806826,0.53767997,0.52995265,0.38305098000000004,0.49480516,0.38602453000000003,0.53832108,0.24626380000000003,0.48978406,0.27302653,0.56342638,0.10947662999999996,0.50484735,0.18679111999999998
0.6006,0.49272245,0.61134279,0.49934825,0.62605774,0.48775309,0.62311473,0.51425612,0.6319437299999999,0.48278385,0.62605774,0.53247702,0.5819129599999999,0.48112741,0.5760269499999999,0.55732358,0.50833821,0.45959371,0.5142242,0.53082061,0.52011016,0.47118878,0.5524830199999999,0.52585125,0.40239072,0.49106604,0.40239072,0.53578991,0.26701313000000004,0.48940954,0.27584213,0.55401069,0.12869269000000005,0.50431752,0.19049554999999996
0.7007,0.49230283,0.62467366,0.49880758,0.63911989,0.48579806,0.6362306799999999,0.51344329,0.64778757,0.48091954,0.64200914,0.53133142,0.59867045,0.47766715,0.59867045,0.55572426,0.5264393700000001,0.4565267,0.52932861,0.51994807,0.53799638,0.46953622,0.5582210400000001,0.52645278,0.42242652,0.49067658,0.42242652,0.53295755,0.28952128,0.48905045,0.29818915999999995,0.55084562,0.15950531,0.50205994,0.19706559
0.8008,0.49006861,0.61546323,0.49631271,0.62933052,0.48538557,0.62655702,0.51036191,0.63210398,0.47914147,0.62933052,0.5290941,0.58772862,0.47758049,0.58218172,0.54782641,0.51007178,0.46040931,0.51007178,0.5119229,0.5267125100000001,0.47133645,0.5489002199999999,0.52597207,0.41577423,0.49006861,0.41577423,0.53065521,0.28542166999999996,0.48694664,0.2909686,0.55094844,0.16616297000000002,0.50411785,0.18835062000000002
0.9009,0.49114123,0.60357282,0.49724621,0.61713111,0.48503628,0.61713111,0.5094561,0.6198428,0.47893134,0.61713111,0.5262447,0.5710328499999999,0.47893134,0.56289783,0.5445596,0.48968285,0.46214265,0.48968285,0.51098239,0.50052953,0.47130013,0.5330694300000001,0.52471852,0.39748627000000003,0.48961502,0.40019786,0.527771,0.27003794999999997,0.48503628,0.27546126000000004,0.55219084,0.16157115,0.50335115,0.18326449
1.001,0.4948028,0.6102879,0.50100607,0.6213091900000001,0.48859954,0.6213091900000001,0.51341259,0.62406456,0.48239636,0.6213091900000001,0.5304715,0.57722396,0.47929463,0.56895798,0.55063212,0.50007468,0.46378654,0.49456412000000005,0.52116668,0.50558543,0.47309142,0.53864932,0.52581912,0.4036383,0.49015036,0.4036383,0.53202236,0.27689326000000003,0.48859954,0.28240383,0.55528456,0.16392481000000003,0.50410765,0.1832121
1.1011,0.50195724,0.6174246999999999,0.50826335,0.62862861,0.49565116,0.62862861,0.52087539,0.63142958,0.48776856,0.62862861,0.53821707,0.58661377,0.47988597,0.5810118,0.5555588,0.5109870400000001,0.46569735,0.50538504,0.53191102,0.53059396,0.47830948,0.55020091,0.53033447,0.40735042,0.4924981,0.40735042,0.54137015,0.27850485,0.49407464,0.28130579,0.56028831,0.14965927999999995,0.50511026,0.18327110999999996
1.2012,0.50850308,0.60848397,0.51483428,0.6197328,0.50217175,0.6197328,0.52907985,0.62254497,0.49584046,0.62254497,0.54332525,0.57754976,0.48317784,0.57754976,0.55598789,0.49599570000000004,0.47209802,0.49599570000000004,0.53382832,0.54380324,0.49109197,0.54942772,0.53541118,0.40038085,0.49425763,0.39756857999999995,0.54965657,0.26820712999999996,0.49584046,0.27945602,0.56231922,0.13603336,0.50533742,0.18384093
1.3013,0.51579118,0.59762505,0.52233589,0.6092530199999999,0.50924647,0.6092530199999999,0.53378916,0.6121600300000001,0.50106549,0.6121600300000001,0.54851478,0.56855506,0.48797607,0.56564802,0.55833191,0.48425209999999996,0.47979513,0.48715907,0.53542531,0.53948504,0.50433791,0.5336710499999999,0.53869772,0.38541411999999997,0.49779314,0.38541411999999997,0.5517872,0.24587798000000005,0.49124837,0.26913410000000004,0.5665127,0.11506313000000001,0.50433791,0.18773812
1.4014,0.5149318,0.59372813,0.52328777,0.60560495,0.50991821,0.60560495,0.5349862,0.60857421,0.50156218,0.61154345,0.55169815,0.56106681,0.49153504,0.56106681,0.56673896,0.47495966999999994,0.48317903,0.47792888,0.54334217,0.51059014,0.50490463,0.5343439,0.54167092,0.37994492,0.50156218,0.37994492,0.55002695,0.24633026000000002,0.49153504,0.27602243000000004,0.57008135,0.10677736999999998,0.50657582,0.18397682999999998
1.5015,0.50228345,0.60552299,0.50916195,0.61774394,0.49712461,0.62079918,0.52807778,0.61774394,0.49368539,0.61774394,0.54871321,0.56580484,0.49540502,0.5566391900000001,0.58482516,0.5077553100000001,0.47476959,0.48636866,0.58138591,0.51997626,0.48852652,0.5444182200000001,0.54183471,0.38249051999999995,0.5057227,0.38554573000000003,0.5452739,0.24500476999999998,0.49712461,0.27861238,0.57106817,0.10140848000000002,0.5057227,0.18695514999999996
1.6016,0.48707533,0.6130525499999999,0.49400583,0.62536594,0.48534268,0.62536594,0.51652998,0.62536594,,,0.53905416,0.59150404,0.50093639,0.56995553,0.58930039,0.56995553,0.48014483,0.50531015,0.57890457,0.60689583,0.48187742,0.56687719,0.54078686,0.40372443,0.51652998,0.40064603,0.53905416,0.2528851,0.50093639,0.28982538,0.5823698,0.10512418000000001,0.50613427,0.18208294999999997
1.7017,0.48587218,0.6000948500000001,0.49101281,0.61227286,0.48415858,0.61227286,0.51157576,0.6183618900000001,,,0.53213859,0.5818279399999999,0.50300789,0.55442742,0.53042501,0.58487236,0.49786717,0.49658197000000004,0.48758569,0.5787834199999999,0.48244494,0.5513829,0.54584712,0.39915806,0.52357072,0.39611357,0.53899276,0.25302225,0.50300789,0.29260069,0.58868641,0.10079740999999998,0.50986212,0.17082076999999996
1.8018,0.48559603,0.5951864099999999,0.49068612,0.6072445200000001,0.4838993,0.6072445200000001,0.50934994,0.610259,,,0.52122676,0.56805569,0.52122676,0.57107022,0.51274323,0.5348958699999999,0.50765318,0.52886689,0.47202238,0.5379104299999999,0.47880921,0.5439395,0.54328388,0.38718408000000004,0.52801359,0.39019859,0.53649706,0.24248689,0.50086635,0.29071933000000005,0.58909482,0.09778969999999998,0.50765318,0.17013829999999996
1.9019,0.48558083,0.5991556,0.49073228,0.61135903,0.48214644,0.61135903,0.51133811,0.6174607599999999,,,0.52679247,0.57169783,0.50275236,0.56254527,0.55083263,0.54118922,0.49244937,0.50152805,0.49760085,0.54729098,0.48386365,0.5350874999999999,0.54224694,0.38864619,0.51648962,0.39169710999999996,0.53537822,0.24220496000000002,0.49760085,0.28186601,0.58517569,0.10186529,0.50962096,0.17203515999999996
2.002,0.48941723,0.61554405,0.4963873,0.62792775,0.48767477,0.62792775,0.51903999,0.62792775,,,0.53995013,0.5845848,0.49464482,0.56291336,0.58002794,0.5443378999999999,0.47896218,0.49480318999999995,0.52949512,0.57839295,0.47721964,0.55981746,0.54169267,0.39573371,0.5103274,0.39263779,0.53472263,0.25022548,0.50161487,0.27189695999999997,0.57480043,0.10781317999999995,0.5103274,0.16973156
